topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_4d14f86f,20.0,6.59,0.0,26.59,0.000,0.000,0.000,0.000,0.000,26.590,ok,
B,scenario_4d48a3f7,20.0,6.28,15.35,41.63,0.000,0.000,0.000,0.000,0.000,41.630,ok,
B,scenario_4ed6c324,20.0,5.83,20.49,46.32,0.000,0.000,0.000,0.000,0.000,46.320,ok,
B,scenario_4f0eb0b9,20.0,6.8,6.0,32.8,9.750,4.912,7.701,5.312,27.675,60.475,ok,
B,scenario_4f3461aa,20.0,5.14,16.08,41.22,0.000,0.000,0.000,0.000,0.000,41.220,ok,
B,scenario_4f89c34b,20.0,6.31,17.1,43.41,5.000,0.000,0.000,0.000,5.000,48.410,ok,
B,scenario_4fce2e85,20.0,7.11,15.56,42.67,0.000,0.000,0.000,0.000,0.000,42.670,ok,
B,scenario_50a083bb,20.0,6.29,19.99,46.28,5.000,0.000,0.000,0.000,5.000,51.280,ok,
B,scenario_5111e55d,20.0,9.17,21.03,50.2,5.000,0.000,0.000,0.000,5.000,55.200,ok,
B,scenario_5214f8e3,20.0,7.85,20.64,48.49,5.000,0.000,0.000,0.000,5.000,53.490,ok,
B,scenario_52a5c696,20.0,5.33,0.0,25.33,0.000,0.000,0.000,0.000,0.000,25.330,ok,
B,scenario_52d4694e,20.0,5.24,19.78,45.02,0.000,0.000,0.000,0.000,0.000,45.020,ok,
B,scenario_534ac6ae,20.0,5.29,19.8,45.08,0.000,0.000,0.000,0.000,0.000,45.080,ok,
B,scenario_5484339d,20.0,6.31,0.0,26.31,0.000,0.000,0.000,0.000,0.000,26.310,ok,
B,scenario_54b4bec1,20.0,4.66,15.36,40.02,0.000,0.000,0.000,0.000,0.000,40.020,ok,
B,scenario_54bf177c,20.0,6.87,20.78,47.66,5.000,0.000,0.000,0.000,5.000,52.660,ok,
B,scenario_554f5f89,0.0,6.27,0.0,6.27,0.000,0.000,0.000,0.000,0.000,6.270,ok,
B,scenario_56001d27,0.0,6.68,0.0,6.68,5.000,0.000,0.000,0.000,5.000,11.680,ok,
B,scenario_56c31509,20.0,5.26,9.0,34.26,5.000,5.091,4.750,5.357,20.198,54.458,ok,
B,scenario_575bf992,0.0,6.64,0.0,6.64,5.000,5.012,4.959,4.907,19.878,26.518,ok,
B,scenario_57b1aac9,20.0,7.24,0.0,27.24,5.000,0.000,0.000,0.000,5.000,32.240,ok,
B,scenario_5812d119,20.0,5.83,1.5,27.33,0.000,0.000,0.000,0.000,0.000,27.330,ok,
B,scenario_5994c086,20.0,6.6,0.0,26.6,0.000,0.000,0.000,0.000,0.000,26.600,ok,
B,scenario_5a1ddbd6,20.0,6.32,15.06,41.38,5.000,5.070,4.661,5.185,19.916,61.296,ok,
B,scenario_5a273a72,20.0,8.48,0.0,28.48,0.000,0.000,0.000,0.000,0.000,28.480,ok,
B,scenario_5aa6b7e4,20.0,9.88,0.0,29.88,0.000,0.000,0.000,0.000,0.000,29.880,ok,
B,scenario_5ac81b89,20.0,6.59,3.0,29.59,0.000,0.000,0.000,0.000,0.000,29.590,ok,
B,scenario_5bfb2927,20.0,6.9,0.0,26.9,0.000,0.000,0.000,0.000,0.000,26.900,ok,
B,scenario_5c2d112e,20.0,6.51,0.0,26.51,0.000,0.000,0.000,0.000,0.000,26.510,ok,
B,scenario_5c35a8a9,20.0,5.5,0.0,25.5,5.000,5.188,4.706,5.000,19.894,45.394,ok,
