topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_47362bc7,20.0,6.69,0.0,26.69,3.333,3.359,4.874,3.333,14.899,41.589,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_474df905,20.0,6.6,19.08,45.68,4.933,3.622,3.95,3.232,15.737,61.417,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_47a00da9,20.0,6.59,1.5,28.09,6.087,5.04,6.007,5.0,22.134,50.224,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_47a831fc,20.0,5.85,0.0,25.85,3.333,3.39,5.071,3.333,15.127,40.977,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_47aeadba,0.0,4.9,0.0,4.9,4.333,3.333,4.386,3.5,15.552,20.452,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_486c6799,20.0,7.91,0.0,27.91,3.3,3.465,4.456,3.429,14.65,42.56,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_496cc3f7,20.0,6.04,0.0,26.04,5.0,2.379,4.373,2.222,13.974,40.014,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_498ac3c0,20.0,4.08,0.0,24.08,3.333,3.247,4.697,3.397,14.674,38.754,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4a10142f,20.0,6.37,0.0,26.37,3.333,3.504,3.343,3.333,13.513,39.883,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4ad16070,20.0,10.0,15.46,45.46,3.333,3.149,3.785,3.467,13.734,59.194,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4b0b4f71,20.0,4.88,0.0,24.88,3.333,3.196,2.992,3.333,12.854,37.734,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4b6c818b,20.0,3.97,1.5,25.47,3.333,3.338,4.368,3.467,14.506,39.976,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4b6efca6,20.0,5.89,9.0,34.89,5.0,5.013,5.157,5.0,20.17,55.06,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4b951303,20.0,7.66,0.0,27.66,3.333,3.305,4.095,3.627,14.36,42.02,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4b9d17a2,20.0,6.19,0.0,26.19,3.3,3.924,3.785,3.154,14.163,40.353,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4bd0fe64,20.0,7.47,16.77,44.24,3.282,3.489,4.399,3.305,14.475,58.715,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4c22167c,20.0,5.83,0.0,25.83,5.833,3.735,4.971,2.167,16.706,42.536,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4c261e70,20.0,5.71,0.0,25.71,4.983,4.915,5.985,5.0,20.883,46.593,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4ce5e9bd,20.0,10.0,0.0,30.0,3.265,4.454,4.931,5.045,17.695,47.695,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4d14f86f,20.0,6.59,0.0,26.59,3.333,3.421,4.947,3.333,15.034,41.624,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4d48a3f7,20.0,6.28,15.35,41.63,3.3,2.487,4.007,3.307,13.101,54.731,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4ed6c324,20.0,5.83,20.49,46.32,5.0,1.919,4.008,0.833,11.76,58.08,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4f0eb0b9,20.0,6.8,6.0,32.8,8.117,4.891,7.177,4.956,25.141,57.941,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4f3461aa,20.0,5.14,16.08,41.22,3.3,2.5,4.728,3.395,13.923,55.143,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4f89c34b,20.0,6.31,17.1,43.41,3.333,3.266,3.149,2.982,12.73,56.14,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_4fce2e85,20.0,7.11,15.56,42.67,4.617,5.02,4.882,3.095,17.614,60.284,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_50a083bb,20.0,6.29,19.99,46.28,3.333,2.502,3.037,3.399,12.271,58.551,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5111e55d,20.0,9.17,21.03,50.2,5.0,3.308,3.785,3.48,15.573,65.773,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5214f8e3,20.0,7.85,20.64,48.49,5.0,3.384,3.442,3.333,15.159,63.649,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_52a5c696,20.0,5.33,0.0,25.33,3.112,3.348,3.983,3.416,13.859,39.189,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_52d4694e,20.0,5.24,19.78,45.02,5.0,3.224,4.628,2.98,15.832,60.852,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
