topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_ae80b87f,20.0,5.61,16.09,41.7,5.000,5.236,5.455,5.000,20.691,62.391,ok,
B,scenario_ae985bd8,20.0,6.04,15.39,41.44,4.895,9.424,7.727,4.276,26.322,67.762,ok,
B,scenario_aec3a4f2,20.0,6.41,0.0,26.41,0.000,5.737,3.909,5.000,14.646,41.056,ok,
B,scenario_aeed2dd7,20.0,4.8,21.82,46.63,5.000,5.169,5.568,4.800,20.537,67.167,ok,
B,scenario_af0b9890,20.0,8.57,15.11,43.68,4.949,5.323,6.915,5.000,22.187,65.867,ok,
B,scenario_af212110,0.0,5.98,0.0,5.98,0.000,2.576,4.046,5.200,11.822,17.802,ok,
B,scenario_affff8cd,20.0,9.98,22.52,52.5,5.000,5.097,5.357,5.000,20.454,72.954,ok,
B,scenario_b059afaf,20.0,5.12,6.0,31.12,5.000,5.113,6.429,4.615,21.157,52.277,ok,
B,scenario_b08f6210,20.0,5.24,0.0,25.24,5.000,1.195,6.389,0.000,12.584,37.824,ok,
B,scenario_b0ac080d,20.0,6.08,1.5,27.58,8.438,5.044,6.528,5.000,25.010,52.590,ok,
B,scenario_b108cf06,20.0,6.3,20.58,46.88,5.000,2.611,5.617,4.917,18.145,65.025,ok,
B,scenario_b13d85ac,20.0,5.13,17.26,42.38,0.000,4.124,3.879,5.100,13.103,55.483,ok,
B,scenario_b1c8e9dd,20.0,7.4,9.0,36.4,5.000,5.021,4.920,5.000,19.941,56.341,ok,
B,scenario_b283ecf4,20.0,5.75,1.5,27.25,0.000,5.052,3.896,5.000,13.948,41.198,ok,
B,scenario_b394fd9e,20.0,6.66,1.5,28.16,8.636,5.017,5.968,5.000,24.621,52.781,ok,
B,scenario_b44eb2d2,20.0,7.5,0.0,27.5,4.949,5.788,7.805,4.627,23.169,50.669,ok,
B,scenario_b6684ade,0.0,6.42,0.0,6.42,5.000,5.008,6.000,5.000,21.008,27.428,ok,
B,scenario_b6b3dfb4,20.0,5.4,0.0,25.4,4.897,7.666,7.083,4.717,24.363,49.763,ok,
B,scenario_b6b5517d,20.0,6.94,0.0,26.94,5.000,5.000,7.222,5.000,22.222,49.162,ok,
B,scenario_b8382efc,20.0,6.82,20.62,47.43,0.000,5.705,3.618,5.600,14.923,62.353,ok,
B,scenario_b838a817,20.0,6.62,0.0,26.62,5.000,4.985,5.000,4.912,19.897,46.517,ok,
B,scenario_b843387c,0.0,4.95,0.0,4.95,5.000,6.342,6.250,5.213,22.805,27.755,ok,
B,scenario_b96e4de5,20.0,5.39,0.0,25.39,5.000,4.974,5.263,5.306,20.543,45.933,ok,
B,scenario_ba8455f2,20.0,5.18,0.0,25.18,0.000,4.490,3.941,4.722,13.153,38.333,ok,
B,scenario_bb2bd36a,20.0,7.08,20.76,47.84,0.000,4.835,3.962,5.000,13.797,61.637,ok,
B,scenario_bb7f784b,20.0,6.85,15.51,42.36,8.000,5.047,5.135,5.000,23.182,65.542,ok,
B,scenario_bba562be,20.0,5.99,0.0,25.99,4.899,3.738,8.889,5.116,22.642,48.632,ok,
B,scenario_bc920660,20.0,6.12,9.0,35.12,10.000,5.031,4.943,5.000,24.974,60.094,ok,
B,scenario_bd6b7e05,20.0,5.36,0.0,25.36,4.900,6.159,4.815,7.500,23.374,48.734,ok,
B,scenario_bdb00c67,0.0,6.05,0.0,6.05,0.000,5.007,3.858,5.667,14.532,20.582,ok,
B,scenario_be1d7fa8,20.0,6.85,19.2,46.05,5.000,4.396,4.795,4.674,18.865,64.915,ok,
B,scenario_be2911d6,20.0,10.0,17.54,47.54,5.000,5.100,4.967,5.000,20.067,67.607,ok,
B,scenario_bea2b895,20.0,5.93,15.14,41.07,5.000,5.029,6.875,5.000,21.904,62.974,ok,
B,scenario_bee66e86,20.0,5.0,17.42,42.41,5.000,2.735,5.000,5.000,17.735,60.145,ok,
B,scenario_bf3f1050,20.0,6.05,9.0,35.05,5.000,5.017,5.135,5.000,20.152,55.202,ok,
B,scenario_bf7ffcf9,20.0,7.74,9.0,36.74,9.800,5.287,8.250,5.000,28.337,65.077,ok,
B,scenario_bf90ea20,20.0,9.99,18.5,48.49,6.667,5.000,5.918,5.139,22.724,71.214,ok,
B,scenario_bfcba50b,20.0,5.34,20.4,45.75,4.600,5.602,7.692,4.500,22.394,68.144,ok,
B,scenario_bfccf6d0,20.0,6.36,15.39,41.75,0.000,5.780,4.156,5.000,14.936,56.686,ok,
B,scenario_c043f767,20.0,4.97,16.84,41.81,9.900,5.632,8.258,4.516,28.306,70.116,ok,
B,scenario_c0854bcd,20.0,8.13,0.0,28.13,9.900,5.124,8.315,4.865,28.204,56.334,ok,
B,scenario_c0c0ba30,20.0,5.77,0.0,25.77,9.900,4.730,8.816,5.000,28.446,54.216,ok,
B,scenario_c1103db2,20.0,3.69,0.0,23.69,5.000,5.206,5.690,5.000,20.896,44.586,ok,
B,scenario_c1511b5f,20.0,6.15,15.63,41.77,9.000,8.322,9.506,7.500,34.328,76.098,ok,
B,scenario_c20d554f,20.0,7.0,20.33,47.32,5.000,5.023,6.452,5.000,21.475,68.795,ok,
B,scenario_c2155c5e,20.0,5.39,15.12,40.51,10.000,8.134,9.444,5.000,32.578,73.088,ok,
B,scenario_c2311974,20.0,9.93,15.32,45.25,5.000,5.244,6.628,5.000,21.872,67.122,ok,
B,scenario_c3200205,20.0,6.96,16.44,43.4,6.667,5.087,7.500,5.000,24.254,67.654,ok,
B,scenario_c3318813,20.0,5.61,0.0,25.61,4.742,5.130,5.714,5.000,20.586,46.196,ok,
